Academic Year,Program Type,Enrollment Date
2022-2023,Elementary School,6/17/2023
2022-2023,High School,4/10/2023
2022-2023,Elementary School,5/7/2023
2022-2023,Elementary School,7/9/2022
2022-2023,High School,6/12/2023
2022-2023,Elementary School,4/1/2023
2022-2023,Middle School,4/3/2023
2022-2023,Elementary School,4/19/2023
2022-2023,Elementary School,3/6/2023
2022-2023,Elementary School,3/19/2023
2022-2023,Elementary School,5/25/2023
2022-2023,High School,6/26/2023
2022-2023,Middle School,1/19/2023
2022-2023,High School,2/22/2023
2022-2023,High School,8/1/2022
2022-2023,Middle School,3/24/2023
2022-2023,High School,2/15/2023
2022-2023,High School,5/11/2023
2022-2023,Middle School,1/7/2023
2022-2023,Middle School,3/26/2023
2022-2023,Elementary School,4/28/2023
2022-2023,Elementary School,5/25/2023
2022-2023,Middle School,3/6/2023
2022-2023,Middle School,4/23/2023
2022-2023,Elementary School,10/19/2022
2022-2023,Middle School,4/15/2023
2022-2023,Elementary School,5/22/2023
2022-2023,Elementary School,9/2/2022
2022-2023,Elementary School,6/13/2023
2022-2023,High School,3/2/2023
2022-2023,High School,9/6/2022
2022-2023,Middle School,1/12/2023
2022-2023,Elementary School,7/1/2022
2022-2023,Middle School,6/8/2023
2022-2023,Middle School,8/28/2022
2022-2023,Elementary School,8/8/2022
2022-2023,Elementary School,6/17/2023
2022-2023,High School,5/2/2023
2022-2023,Elementary School,3/25/2023
2022-2023,High School,5/15/2023
2022-2023,High School,4/11/2023
2022-2023,Elementary School,3/24/2023
2022-2023,Elementary School,1/12/2023
2022-2023,Middle School,7/9/2022
2022-2023,Middle School,7/15/2022
2022-2023,Elementary School,5/13/2023
2022-2023,Elementary School,6/4/2023
2022-2023,Elementary School,4/17/2023
2022-2023,Middle School,1/12/2023
2022-2023,Middle School,4/8/2023
2022-2023,Elementary School,7/18/2022
2022-2023,Middle School,4/7/2023
2022-2023,High School,6/27/2023
2022-2023,Middle School,5/25/2023
2022-2023,High School,4/10/2023
2022-2023,Elementary School,8/15/2022
2022-2023,High School,6/5/2023
2022-2023,Middle School,8/19/2022
2022-2023,Elementary School,4/24/2023
2022-2023,Elementary School,4/28/2023
2022-2023,Elementary School,5/22/2023
2022-2023,Elementary School,3/9/2023
2022-2023,Elementary School,5/19/2023
2022-2023,Elementary School,4/4/2023
2022-2023,Elementary School,6/16/2023
2022-2023,Elementary School,9/6/2022
2022-2023,Middle School,5/9/2023
2022-2023,Elementary School,5/26/2023
2022-2023,Middle School,5/20/2023
2022-2023,Middle School,5/17/2023
2022-2023,Elementary School,3/12/2023
2022-2023,High School,5/19/2023
2022-2023,Middle School,5/22/2023
2022-2023,Middle School,5/25/2023
2022-2023,Elementary School,5/14/2023
2022-2023,Elementary School,5/3/2023
2022-2023,Elementary School,5/2/2023
2022-2023,Elementary School,4/10/2023
2022-2023,Middle School,5/5/2023
2022-2023,Elementary School,7/24/2022
2022-2023,Elementary School,3/25/2023
2022-2023,Middle School,7/24/2022
2022-2023,Middle School,5/8/2023
2022-2023,Elementary School,7/15/2022
2022-2023,High School,6/2/2023
2022-2023,Middle School,3/17/2023
2022-2023,High School,4/6/2023
2022-2023,Elementary School,4/7/2023
2022-2023,Middle School,4/26/2023
2022-2023,Elementary School,4/15/2023
2022-2023,Middle School,9/18/2022
2022-2023,Elementary School,5/16/2023
2022-2023,Elementary School,2/10/2023
2022-2023,Elementary School,5/8/2023
2022-2023,Middle School,6/7/2023
2022-2023,Elementary School,4/5/2023
2022-2023,High School,5/23/2023
2022-2023,Elementary School,6/4/2023
2022-2023,Elementary School,6/10/2023
2022-2023,Middle School,6/9/2023
2022-2023,Elementary School,6/28/2023
2022-2023,Elementary School,4/26/2023
2022-2023,Middle School,2/7/2023
2022-2023,Elementary School,5/19/2023
2022-2023,Middle School,5/25/2023
2022-2023,Middle School,5/5/2023
2022-2023,High School,5/1/2023
2022-2023,Elementary School,4/23/2023
2022-2023,Middle School,7/21/2022
2022-2023,Elementary School,6/6/2023
2022-2023,Elementary School,5/20/2023
2022-2023,High School,1/7/2023
2022-2023,Elementary School,5/12/2023
2022-2023,Elementary School,3/23/2023
2022-2023,Middle School,5/4/2023
2022-2023,Middle School,4/6/2023
2022-2023,Middle School,4/28/2023
2022-2023,High School,5/18/2023
2022-2023,Middle School,2/2/2023
2022-2023,Middle School,5/2/2023
2022-2023,Middle School,6/12/2023
2022-2023,Middle School,3/1/2023
2022-2023,Middle School,6/18/2023
2022-2023,Elementary School,6/12/2023
2022-2023,Middle School,7/15/2022
2022-2023,High School,5/10/2023
2022-2023,Elementary School,5/16/2023
2022-2023,High School,5/28/2023
2022-2023,Elementary School,4/20/2023
2022-2023,Middle School,7/6/2022
2022-2023,High School,5/27/2023
2022-2023,High School,6/6/2023
2022-2023,Elementary School,5/24/2023
2022-2023,Middle School,5/11/2023
2022-2023,Elementary School,6/19/2023
2022-2023,High School,4/8/2023
2022-2023,Elementary School,3/6/2023
2022-2023,High School,7/16/2022
2022-2023,Middle School,3/23/2023
2022-2023,Elementary School,6/19/2023
2022-2023,Elementary School,5/21/2023
2022-2023,Elementary School,4/4/2023
2022-2023,Elementary School,7/11/2022
2022-2023,Elementary School,6/28/2023
2022-2023,Elementary School,5/22/2023
2022-2023,Elementary School,5/5/2023
2022-2023,Middle School,7/14/2022
2022-2023,High School,3/12/2023
2022-2023,Middle School,4/25/2023
2022-2023,Elementary School,4/27/2023
2022-2023,High School,4/26/2023
2022-2023,Middle School,5/25/2023
2022-2023,Middle School,6/2/2023
2022-2023,Elementary School,5/27/2023
2022-2023,Elementary School,1/3/2023
2022-2023,Elementary School,4/9/2023
2022-2023,High School,6/1/2023
2022-2023,Elementary School,6/11/2023
2022-2023,Elementary School,8/14/2022
2022-2023,Elementary School,5/10/2023
2022-2023,High School,7/6/2022
2022-2023,Elementary School,4/25/2023
2022-2023,Elementary School,1/16/2023
2022-2023,Elementary School,1/15/2023
2022-2023,Elementary School,8/13/2022
2022-2023,Elementary School,7/13/2022
2022-2023,Elementary School,10/16/2022
2022-2023,High School,5/3/2023
2022-2023,Middle School,10/27/2022
2022-2023,High School,6/25/2023
2022-2023,Middle School,8/19/2022
2022-2023,Elementary School,4/2/2023
2022-2023,High School,8/25/2022
2022-2023,Elementary School,2/26/2023
2022-2023,High School,7/17/2022
2022-2023,Elementary School,5/12/2023
2022-2023,High School,5/14/2023
2022-2023,Elementary School,2/18/2023
2022-2023,Elementary School,5/15/2023
2022-2023,Elementary School,7/22/2022
2022-2023,Elementary School,7/22/2022
2022-2023,High School,11/7/2022
2022-2023,Middle School,3/5/2023
2022-2023,Middle School,5/25/2023
2022-2023,Elementary School,6/25/2023
2022-2023,Elementary School,2/14/2023
2022-2023,Elementary School,4/23/2023
2022-2023,High School,8/10/2022
2022-2023,High School,2/26/2023
2022-2023,Middle School,5/6/2023
2022-2023,High School,9/15/2022
2022-2023,Elementary School,5/22/2023
2022-2023,Middle School,6/8/2023
2022-2023,Elementary School,8/11/2022
2022-2023,Middle School,4/19/2023
2022-2023,Middle School,7/10/2022
2022-2023,High School,5/24/2023
2022-2023,Elementary School,2/6/2023
2022-2023,Middle School,3/18/2023
2022-2023,Middle School,7/26/2022
2022-2023,Elementary School,4/17/2023
2022-2023,Elementary School,3/7/2023
2022-2023,Elementary School,7/24/2022
2022-2023,Elementary School,6/5/2023
2022-2023,Elementary School,4/26/2023
2022-2023,High School,5/26/2023
2022-2023,Middle School,5/14/2023
2022-2023,Middle School,3/4/2023
2022-2023,Elementary School,2/11/2023
2022-2023,Elementary School,1/19/2023
2022-2023,Elementary School,5/16/2023
2022-2023,Elementary School,5/22/2023
2022-2023,High School,4/22/2023
2022-2023,High School,9/25/2022
2022-2023,Middle School,3/7/2023
2022-2023,Middle School,6/26/2023
2022-2023,Elementary School,9/15/2022
2022-2023,Elementary School,5/18/2023
2022-2023,Elementary School,7/14/2022
2022-2023,Elementary School,7/7/2022
2022-2023,Elementary School,6/9/2023
2022-2023,Elementary School,2/11/2023
2022-2023,Elementary School,6/7/2023
2022-2023,Elementary School,5/12/2023
2022-2023,Middle School,5/5/2023
2022-2023,Middle School,4/26/2023
2022-2023,Elementary School,4/6/2023
2022-2023,Elementary School,8/13/2022
2022-2023,Middle School,9/22/2022
2022-2023,Elementary School,6/14/2023
2022-2023,Middle School,7/16/2022
2022-2023,High School,4/14/2023
2022-2023,Middle School,3/17/2023
2022-2023,Elementary School,9/8/2022
2022-2023,Middle School,5/23/2023
2022-2023,Elementary School,4/8/2023
2022-2023,Elementary School,3/1/2023
2022-2023,Elementary School,7/12/2022
2022-2023,High School,5/6/2023
2022-2023,Middle School,8/27/2022
2022-2023,Elementary School,4/27/2023
2022-2023,High School,7/19/2022
2022-2023,Elementary School,5/27/2023
2022-2023,Elementary School,5/19/2023
2022-2023,Middle School,5/14/2023
2022-2023,Elementary School,5/22/2023
2022-2023,Elementary School,6/9/2023
2022-2023,Elementary School,4/15/2023
2022-2023,Elementary School,5/22/2023
2022-2023,High School,5/8/2023
2022-2023,Elementary School,6/24/2023
2022-2023,Elementary School,6/25/2023
2022-2023,Middle School,3/18/2023
2022-2023,Elementary School,8/25/2022
2022-2023,High School,7/13/2022
2022-2023,Middle School,9/5/2022
2022-2023,Elementary School,8/28/2022
2022-2023,Elementary School,4/21/2023
2022-2023,Elementary School,4/8/2023
2022-2023,High School,7/28/2022
2022-2023,Elementary School,6/18/2023
2022-2023,Elementary School,6/11/2023
2022-2023,Elementary School,7/7/2022
2022-2023,Elementary School,7/21/2022
2022-2023,Middle School,6/2/2023
2022-2023,Middle School,6/28/2023
2022-2023,Middle School,5/28/2023
2022-2023,Middle School,6/24/2023
2022-2023,Middle School,5/18/2023
2022-2023,High School,4/25/2023
2022-2023,Elementary School,3/17/2023
2022-2023,Middle School,7/21/2022
2022-2023,High School,4/20/2023
2022-2023,Elementary School,5/19/2023
2022-2023,Middle School,4/22/2023
2022-2023,Elementary School,6/13/2023
2022-2023,Elementary School,5/3/2023
2022-2023,Elementary School,5/24/2023
2022-2023,High School,10/4/2022
2022-2023,High School,6/14/2023
2022-2023,Elementary School,5/25/2023
2022-2023,Elementary School,3/28/2023
2022-2023,Elementary School,4/8/2023
2022-2023,Elementary School,4/12/2023
2022-2023,Elementary School,7/26/2022
2022-2023,Elementary School,4/24/2023
2022-2023,Elementary School,4/19/2023
2022-2023,High School,7/8/2022
2022-2023,Elementary School,1/25/2023
2022-2023,Middle School,3/12/2023
2022-2023,Elementary School,4/6/2023
2022-2023,Elementary School,6/6/2023
2022-2023,Elementary School,5/11/2023
2022-2023,Elementary School,8/14/2022
2022-2023,Middle School,11/26/2022
2022-2023,Elementary School,6/18/2023
2022-2023,Elementary School,4/11/2023
2022-2023,Elementary School,4/25/2023
2022-2023,Elementary School,5/7/2023
2022-2023,Elementary School,9/3/2022
2022-2023,Elementary School,3/16/2023
2022-2023,Middle School,6/18/2023
2022-2023,Elementary School,7/4/2022
2022-2023,High School,12/19/2022
2022-2023,High School,5/13/2023
2022-2023,High School,7/2/2022
2022-2023,High School,6/1/2023
2022-2023,High School,8/6/2022
2022-2023,Elementary School,4/2/2023
2022-2023,Middle School,6/20/2023
2022-2023,Elementary School,3/7/2023
2022-2023,Elementary School,4/17/2023
2022-2023,Elementary School,6/8/2023
2022-2023,Middle School,6/16/2023
2022-2023,Middle School,5/22/2023
2022-2023,Elementary School,5/11/2023
2022-2023,Elementary School,5/15/2023
2022-2023,Elementary School,8/24/2022
2022-2023,Elementary School,5/21/2023
2022-2023,Elementary School,4/11/2023
2022-2023,Elementary School,4/3/2023
2022-2023,Elementary School,5/21/2023
2022-2023,Elementary School,5/11/2023
2022-2023,Middle School,7/19/2022
2022-2023,Elementary School,4/8/2023
2022-2023,Middle School,6/16/2023
2022-2023,Middle School,6/16/2023
2022-2023,Elementary School,4/28/2023
2022-2023,Elementary School,5/18/2023
2022-2023,Elementary School,5/27/2023
2022-2023,Middle School,6/15/2023
2022-2023,Middle School,2/6/2023
2022-2023,Elementary School,7/4/2022
2022-2023,Middle School,5/19/2023
2022-2023,Elementary School,6/2/2023
2022-2023,Middle School,6/3/2023
2022-2023,High School,5/4/2023
2022-2023,High School,2/4/2023
2022-2023,High School,8/21/2022
2022-2023,High School,5/11/2023
2022-2023,High School,4/27/2023
2022-2023,High School,6/22/2023
2022-2023,Elementary School,6/15/2023
2022-2023,Elementary School,3/11/2023
2022-2023,Elementary School,7/11/2022
2022-2023,Middle School,7/12/2022
2022-2023,Elementary School,3/3/2023
2022-2023,Elementary School,5/23/2023
2022-2023,Elementary School,1/18/2023
2022-2023,Middle School,3/22/2023
2022-2023,Middle School,7/5/2022
2022-2023,Elementary School,6/17/2023
2022-2023,High School,7/27/2022
2022-2023,Elementary School,7/25/2022
2022-2023,Elementary School,6/1/2023
2022-2023,Middle School,6/14/2023
2022-2023,Elementary School,6/4/2023
2022-2023,Elementary School,5/18/2023
2022-2023,Elementary School,7/25/2022
2022-2023,Middle School,1/10/2023
2022-2023,Elementary School,10/4/2022
2022-2023,Elementary School,3/26/2023
2022-2023,Elementary School,12/21/2022
2022-2023,Elementary School,4/6/2023
2022-2023,Elementary School,6/2/2023
2022-2023,Elementary School,8/25/2022
2022-2023,Middle School,5/28/2023
2022-2023,Elementary School,7/20/2022
2022-2023,High School,6/23/2023
2022-2023,Elementary School,5/4/2023
2022-2023,Elementary School,7/10/2022
2022-2023,Middle School,5/18/2023
2022-2023,Middle School,5/11/2023
2022-2023,Elementary School,8/16/2022
2022-2023,Elementary School,4/24/2023
2022-2023,High School,5/14/2023
2022-2023,Elementary School,2/12/2023
2022-2023,Elementary School,2/5/2023
2022-2023,Elementary School,9/2/2022
2022-2023,Middle School,6/26/2023
2022-2023,Elementary School,4/16/2023
2022-2023,Middle School,3/2/2023
2022-2023,Elementary School,3/25/2023
2022-2023,Elementary School,3/28/2023
2022-2023,Elementary School,4/10/2023
2022-2023,Elementary School,10/12/2022
2022-2023,Elementary School,6/10/2023
2022-2023,High School,4/3/2023
2022-2023,High School,6/12/2023
2022-2023,Elementary School,4/24/2023
2022-2023,Elementary School,4/5/2023
2022-2023,High School,4/24/2023
2022-2023,Middle School,4/15/2023
2022-2023,Elementary School,4/12/2023
2022-2023,Elementary School,1/14/2023
2022-2023,Elementary School,4/5/2023
2022-2023,Elementary School,5/10/2023
2022-2023,Elementary School,5/25/2023
2022-2023,Elementary School,3/16/2023
2022-2023,Middle School,2/20/2023
2022-2023,Elementary School,4/27/2023
2022-2023,Middle School,6/15/2023
2022-2023,High School,7/22/2022
2022-2023,Middle School,5/8/2023
2022-2023,Elementary School,4/21/2023
2022-2023,High School,7/15/2022
2022-2023,Elementary School,5/10/2023
2022-2023,Elementary School,6/15/2023
2022-2023,Middle School,5/6/2023
2022-2023,Elementary School,9/22/2022
2022-2023,High School,4/26/2023
2022-2023,Middle School,6/25/2023
2022-2023,Elementary School,5/26/2023
2022-2023,Elementary School,5/2/2023
2022-2023,High School,4/23/2023
2022-2023,High School,5/22/2023
2022-2023,Elementary School,4/8/2023
2022-2023,Elementary School,7/8/2022
2022-2023,Elementary School,11/14/2022
2022-2023,High School,8/13/2022
2022-2023,Middle School,1/16/2023
2022-2023,Elementary School,6/3/2023
2022-2023,Elementary School,7/17/2022
2022-2023,High School,1/14/2023
2022-2023,Elementary School,5/24/2023
2022-2023,High School,5/10/2023
2022-2023,Elementary School,5/24/2023
2022-2023,Elementary School,1/23/2023
2022-2023,Elementary School,7/10/2022
2022-2023,Middle School,7/18/2022
2022-2023,Middle School,5/7/2023
2022-2023,Middle School,4/20/2023
2022-2023,High School,6/14/2023
2022-2023,Elementary School,4/9/2023
2022-2023,Middle School,2/6/2023
2022-2023,Elementary School,7/10/2022
2022-2023,High School,6/22/2023
2022-2023,Middle School,2/13/2023
2022-2023,High School,7/26/2022
2022-2023,Elementary School,2/11/2023
2022-2023,Elementary School,3/6/2023
2022-2023,Elementary School,7/7/2022
2022-2023,Elementary School,6/28/2023
2022-2023,Elementary School,5/13/2023
2022-2023,Middle School,5/28/2023
2022-2023,Elementary School,6/6/2023
2022-2023,High School,2/9/2023
2022-2023,Elementary School,7/28/2022
2022-2023,Middle School,7/23/2022
2022-2023,High School,2/9/2023
2022-2023,Elementary School,5/21/2023
2022-2023,Middle School,4/14/2023
2022-2023,High School,6/9/2023
2022-2023,Elementary School,1/21/2023
2022-2023,Elementary School,4/10/2023
2022-2023,Elementary School,6/14/2023
2022-2023,Elementary School,7/24/2022
2022-2023,Elementary School,1/8/2023
2022-2023,Middle School,1/14/2023
2022-2023,Elementary School,3/10/2023
2022-2023,High School,8/3/2022
2022-2023,Elementary School,5/20/2023
2022-2023,Middle School,3/12/2023
2022-2023,Elementary School,3/28/2023
2022-2023,Elementary School,4/1/2023
2022-2023,Elementary School,5/15/2023
2022-2023,Elementary School,5/28/2023
2022-2023,Elementary School,5/25/2023
2022-2023,Elementary School,7/16/2022
2022-2023,Elementary School,4/1/2023
2022-2023,High School,6/2/2023
2022-2023,Elementary School,5/20/2023
2022-2023,Elementary School,7/16/2022
2022-2023,Middle School,4/2/2023
2022-2023,High School,3/22/2023
2022-2023,Elementary School,3/22/2023
2022-2023,Middle School,3/1/2023
2022-2023,Middle School,9/2/2022
2022-2023,Middle School,5/28/2023
2022-2023,High School,5/9/2023
2022-2023,Elementary School,4/6/2023
2022-2023,Elementary School,7/27/2022
2022-2023,Elementary School,5/12/2023
2022-2023,Elementary School,2/22/2023
2022-2023,Elementary School,5/13/2023
2022-2023,Elementary School,4/20/2023
2022-2023,Middle School,4/10/2023
2022-2023,Middle School,7/15/2022
2022-2023,Middle School,1/3/2023
2022-2023,Elementary School,4/15/2023
2022-2023,Elementary School,5/27/2023
2022-2023,Elementary School,1/8/2023
2022-2023,Middle School,5/17/2023
2022-2023,Elementary School,4/25/2023
2022-2023,High School,5/14/2023
2022-2023,Middle School,6/28/2023
2022-2023,Elementary School,2/16/2023
2022-2023,Elementary School,6/9/2023
